Sim_num	Dist	Asc_NAF	Asc_NEU	Asc_NCHB	daf	Log10_NAF	Log10_NEU	Log10_NCHB	NEU_AS	TEU_AS	TAF	LinearCombination_0	LinearCombination_1	LinearCombination_2	LinearCombination_3	LinearCombination_4	LinearCombination_5	LinearCombination_6	LinearCombination_7
176753	0.448021	12	16	13	0.0929278	4.54868	4.76002	3.76589	3032	1521	2621	-6.75149	-6.92334	-0.0681367	1.11216	-2.78478	-0.322192	0.738334	1.79872
188386	0.819447	4	14	20	0.0793601	4.76448	4.11764	3.63246	4369	1066	2921	-7.79196	-6.29166	-2.01734	-0.948123	-3.44035	-0.246029	0.497045	1.3149
189976	0.90111	3	8	19	0.0701032	4.74759	4.60333	3.48244	3619	1057	2704	-8.73428	-5.07274	-2.92708	0.150798	-4.06883	-0.299038	-0.264343	1.77366
191142	0.515449	8	13	18	0.0777983	4.93664	4.20788	3.58172	3376	1297	2354	-8.0579	-5.39752	0.254601	0.574153	-3.70842	-0.156991	-0.356617	2.35177
194470	1.25296	11	13	16	0.0913935	4.75554	4.132	3.45969	4057	1266	3279	-5.1813	-2.78185	-0.878124	1.0401	-4.16405	0.343834	0.583615	1.74652
195025	1.08926	10	17	20	0.0738201	4.79509	4.38148	3.55388	3330	919	2458	-6.23995	-5.27775	-0.964452	1.11672	-3.07392	0.825205	-0.688838	1.53595
197956	0.995439	3	5	19	0.0932959	4.98727	4.38443	3.57113	4009	1513	3392	-6.59865	-4.97783	-1.38239	-0.419704	-4.28642	-1.15593	-0.888767	2.8843
198243	0.946541	13	20	14	0.0916818	4.34715	4.39981	3.73472	3068	1181	2457	-3.84546	-7.35244	-0.641718	0.0832437	-2.58019	0.468045	0.406208	1.34809
199135	1.20939	20	19	19	0.099028	4.69467	4.795	3.66633	4380	1190	1988	-11.8431	-8.40728	0.49864	1.73469	-3.27056	-1.01383	0.245332	1.39911
199346	0.795228	4	20	15	0.0908957	4.74038	4.11514	3.45591	4617	1139	2818	-4.21676	-5.01078	-0.689208	0.454041	-4.84781	-0.419848	-0.435631	2.67033
199561	1.17048	5	9	20	0.0668716	4.69575	4.84294	3.96019	3169	1504	2507	-7.82588	-8.72248	0.476313	0.309167	-1.68739	-0.469548	0.417542	1.33203
200482	0.992091	7	18	11	0.0898991	4.72644	4.69984	3.63306	4752	1149	3197	-7.37646	-6.46876	-2.19496	0.683133	-3.4891	-1.09119	-0.185371	3.14321
206097	1.21466	4	20	11	0.0616604	4.71963	4.34758	3.72428	4925	1147	3251	-2.02346	-7.47677	-1.11308	0.559238	-2.66226	-0.864724	-0.954061	1.18622
208081	0.836165	13	14	13	0.0830564	4.59167	4.43864	3.73231	3929	1158	2676	-7.16201	-6.48115	-0.764984	0.440697	-1.66961	-0.0433584	0.549223	2.04574
219662	1.31955	3	10	15	0.077349	4.72173	4.25044	3.58172	2780	1184	1881	-6.41955	-7.27071	1.17516	-0.0998711	-3.17677	0.904009	0.393486	1.28218
221058	1.23658	7	18	6	0.0700882	4.83924	4.11694	3.98834	4148	1504	3597	-6.73617	-4.94685	-0.746416	-0.234238	-1.84115	-1.90996	-0.962003	2.37428
221293	0.936541	6	13	19	0.0807559	4.5607	4.87934	3.6288	3212	1292	2584	-3.27105	-7.90151	-0.821176	0.329521	-3.41663	-0.0153847	-0.1199	3.01788
222167	1.13496	7	9	18	0.0712664	4.57289	4.28244	3.55047	4634	1175	3225	-0.855786	-5.48854	0.304223	0.318971	-2.98965	-0.565575	-0.778263	1.92987
223801	1.11846	3	9	15	0.0962839	4.652	4.33622	3.5084	2348	1550	2094	-4.3223	-6.72826	0.62706	0.198254	-5.20818	0.281116	-0.0367063	2.77399
234910	0.974945	2	8	14	0.0927891	4.60837	4.64953	3.68975	1909	1370	1718	-9.14286	-9.27845	0.675545	0.13891	-2.91286	-0.185443	0.912484	1.57596
235945	1.27703	13	12	14	0.0926315	4.73281	4.42812	3.57484	4884	1088	3792	-2.68178	-3.42891	-2.06221	1.02305	-3.08205	-1.20008	0.847856	2.14412
237696	1.32517	5	13	20	0.0956199	4.7801	4.08991	3.37876	4578	954	3102	-5.65722	-4.46381	-2.00966	-1.10973	-4.84834	0.232605	0.218701	1.32947
237832	0.97171	5	20	18	0.0955217	4.27992	4.86327	3.52634	4749	1352	3159	-3.96101	-7.44328	-2.46014	0.264224	-5.02725	-1.14295	1.26938	1.87256
238434	1.3934	9	18	12	0.0869759	4.83042	4.08746	3.36511	4080	586	2441	-7.89459	-4.20193	-1.90145	0.454153	-2.86776	0.586842	-1.07263	1.88257
240825	0.746006	9	2	18	0.0958586	4.73641	4.27066	3.73344	3789	1547	3173	-4.57984	-5.19232	0.095326	-0.498767	-2.20968	-0.849857	0.376579	2.19098
241473	0.919981	7	13	10	0.0799004	4.4548	4.56798	3.52582	4512	1593	3488	-3.59673	-4.50232	-0.689002	2.01111	-4.84613	-0.851721	0.58356	1.9562
241513	1.39256	8	10	19	0.0975034	4.98641	4.06618	3.46642	4828	1450	2672	-11.0996	-3.62967	-0.18345	0.69316	-5.35831	-0.863901	0.22263	1.67148
243197	1.38202	8	13	16	0.0865684	4.83991	4.89191	3.82302	1579	1444	1856	-7.50717	-8.85781	0.913752	1.4686	-2.13242	-0.823983	-0.811616	2.7961
244986	1.11711	12	13	15	0.084527	4.65515	4.66969	3.56961	2589	888	1689	-8.31676	-7.25652	-0.00957912	1.44718	-2.50031	0.815471	-0.355054	1.60709
245218	1.30603	18	20	9	0.0918289	4.64889	4.14974	3.70355	2999	876	2141	-7.17015	-5.27957	-0.511339	0.444231	-1.65134	0.768416	-0.12465	2.20099
247014	1.19134	13	16	13	0.0731657	4.70361	4.56872	3.60821	4970	1098	3497	-8.95321	-3.93139	-1.96692	1.64872	-2.70132	-1.19212	0.664998	1.63964
247061	1.14165	20	15	19	0.0898771	4.545	4.20793	3.68386	4630	1364	3459	-5.94505	-3.83871	-0.996889	0.246935	-2.72087	-0.694283	0.583976	1.12786
248169	0.814316	8	16	10	0.0989265	4.40219	4.06666	3.5061	4672	880	2196	-3.73617	-7.1121	0.239897	0.110362	-3.6266	0.769045	-0.0638236	1.65286
250436	1.2593	8	8	20	0.0840793	4.92727	4.37773	3.63144	4971	1509	3216	-6.8051	-6.24659	-1.04901	-0.679671	-4.144	-0.456941	2.08898	1.91445
252043	1.32361	5	18	9	0.0876833	4.3014	4.85039	3.65571	3973	1006	2644	-2.86016	-7.55999	-0.819043	1.05664	-2.73145	0.121067	-0.268216	0.930337
253935	0.762306	11	12	18	0.0836426	4.67864	4.79746	3.89193	4149	1555	3605	-4.35429	-7.33087	-1.13607	-0.0512819	-2.13125	-1.18475	0.273863	2.71434
254118	1.03907	2	3	19	0.0984435	4.89665	4.14959	3.45879	4339	1018	1927	-11.2205	-7.47412	-0.277863	-1.3748	-3.7441	-0.306434	-0.105722	1.43561
254263	1.02494	3	11	7	0.0859493	4.56097	4.95727	3.66436	3057	1120	2977	-3.2633	-5.10488	-1.97277	0.59118	-2.80179	0.285756	0.0251673	1.57099
259672	1.3964	5	15	11	0.0704332	4.729	4.46907	3.35622	4761	1131	3354	-2.73485	-4.34414	-1.54759	1.5564	-5.37154	-1.09182	-0.891473	1.73963
264388	1.24356	10	5	13	0.0905358	4.7408	4.60607	3.76997	4575	1195	3496	-6.50795	-4.99246	-0.930512	0.910365	-1.31958	-0.836566	0.474353	2.5456
265013	0.946028	5	15	8	0.0996998	4.82745	4.36745	3.59273	3920	1050	2679	-10.2687	-5.4146	-1.80034	0.890499	-3.23881	-0.565777	0.173951	1.27898
265016	1.0316	4	7	14	0.0821357	4.8771	4.64524	3.34005	4422	744	2484	-8.84095	-6.14161	-2.22522	0.13439	-4.16827	0.811501	0.202819	1.58735
275555	0.582472	11	9	19	0.0957186	4.45617	4.2492	3.63195	4750	1247	3160	-4.62488	-5.09781	-0.252866	0.393173	-2.58043	-1.55219	0.16907	2.3492
275596	1.28773	13	19	18	0.0926424	4.47734	4.05774	3.49262	4646	1315	3134	-6.37866	-3.17928	-0.916243	0.316703	-4.67345	-0.19905	0.799621	1.2779
275847	1.00737	8	17	3	0.0944371	4.7407	4.41662	3.5738	4143	1393	2964	-8.86706	-3.93835	-0.339353	2.46585	-3.65494	-0.76235	0.206722	1.85702
278548	1.38905	4	20	4	0.095378	4.82403	4.6617	3.37785	3419	910	2264	-6.88653	-5.5042	-0.876941	2.39124	-4.39147	0.986452	-0.810092	1.91712
280814	1.16164	6	18	2	0.0802344	4.69735	3.87471	3.55811	4497	1060	2631	-7.01106	-3.85611	-0.155201	1.27691	-3.80278	-0.366577	-0.937925	1.32061
283540	1.05948	10	6	14	0.0991937	4.98426	4.85022	3.67376	3624	1466	2642	-10.2667	-5.81722	0.486232	2.24976	-2.99344	-0.714503	0.714267	2.04145
283782	0.645031	7	16	9	0.0886138	4.91921	4.58228	3.59966	4775	1207	3301	-7.36123	-4.77476	-0.555746	1.91281	-2.89879	-0.791078	0.241482	2.27292
286303	1.23629	11	11	18	0.0991115	4.86468	3.92973	3.44373	4455	1057	3359	-7.27324	-2.1789	-1.19555	-0.273249	-3.37042	-0.185378	-0.123659	2.27974
286375	1.38938	9	2	12	0.0954036	4.90771	4.87711	3.58444	4850	1093	2869	-10.2391	-5.71279	-1.29623	0.648035	-2.96252	-0.108132	1.78206	1.99271
287788	1.02554	18	14	18	0.0936924	4.68362	4.24573	3.74123	3752	1574	2977	-7.90483	-4.35055	-0.0117309	0.539046	-2.9419	-1.38661	1.1974	1.50455
290390	1.14143	6	16	20	0.07934	4.33905	4.60552	3.63899	2417	1418	2501	-5.54668	-6.40768	-2.00079	0.0754584	-3.84833	-0.549513	0.723677	0.81982
291906	1.11494	7	17	5	0.0839757	4.85106	4.96278	3.70191	2878	1404	2839	-9.70015	-4.71886	-2.05611	1.72078	-2.98672	-1.50542	-0.689858	2.24695
293821	1.31358	4	17	13	0.0747377	4.35058	4.81595	3.7558	3932	1499	3221	-5.08207	-7.19553	-2.15268	0.678403	-3.17466	-2.21495	-0.454695	0.884764
301005	0.76267	7	15	18	0.0818527	4.66881	4.76332	3.49499	4955	874	3281	-8.18153	-5.73568	-2.59489	0.336013	-3.16007	-0.693601	0.494928	1.46943
301637	1.08402	2	4	10	0.0945262	4.87467	4.20747	3.29292	4164	714	1811	-7.46772	-6.27887	-0.140431	0.784614	-4.09914	-0.0404325	-1.65646	1.71257
302029	0.482157	8	12	18	0.0971924	4.63387	4.57786	3.62737	3284	1409	3066	-5.99924	-5.13264	-1.84559	0.579096	-3.66055	-0.309873	0.297704	2.42303
303069	1.3492	7	19	14	0.0825973	4.35031	4.3656	3.56301	3515	1398	2081	-2.92907	-8.4157	1.95667	1.34492	-4.04774	0.238957	-0.380768	1.98752
303765	1.30454	2	19	13	0.0706879	4.47474	4.63909	3.95976	4304	1563	3290	-4.46561	-9.18605	-0.155001	0.387018	-1.77835	-2.18447	-0.667137	1.4702
305638	0.929054	8	18	14	0.0851983	4.37632	4.16876	3.463	4330	1127	2981	-4.3922	-4.24688	-1.85363	0.757409	-4.40732	-1.00548	-0.0797047	1.27281
307285	0.579576	2	20	18	0.0922955	4.92506	4.5242	3.42488	4163	1103	2669	-6.39151	-5.89492	-0.872185	0.990666	-4.90034	-0.343237	-0.788879	2.31198
309062	1.2611	12	13	8	0.0962465	4.67829	4.35824	3.83027	4827	1263	2591	-10.1126	-7.69897	0.348325	0.594838	-2.01305	-0.268661	1.08607	2.4454
310580	0.888987	12	15	18	0.0956371	4.95195	4.20238	3.74927	4699	1276	2422	-11.3437	-7.04313	0.451435	-0.187501	-2.7583	-0.406296	0.412345	2.14224
313164	1.0858	4	17	5	0.0790663	4.3865	4.88335	3.99948	4312	1549	3507	-6.1568	-8.46814	-2.15518	0.0261826	-2.32271	-2.29406	0.878508	1.57029
314488	1.019	7	15	16	0.0953719	4.71399	4.65498	3.61395	1972	1431	1820	-8.02431	-8.16586	1.43975	1.30388	-3.75102	0.166332	0.318205	1.44408
319462	1.05258	3	15	8	0.0872584	4.52867	4.28303	3.66727	2746	1113	1786	-5.54613	-8.24235	1.21466	0.904047	-2.79634	0.638732	-0.359424	1.82316
319610	1.0354	3	7	14	0.0912841	4.95001	4.61212	3.59748	4139	1116	1895	-10.4512	-8.54642	0.71694	0.636939	-2.74449	-1.70954	-0.775276	2.25826
322759	1.03627	5	20	5	0.0861802	4.56217	4.37499	3.70079	1553	1359	2177	-7.64318	-4.39381	-1.74897	0.166568	-3.22937	0.577963	0.653316	1.68733
322818	1.18028	3	20	18	0.0753358	4.5324	4.09188	3.40688	3812	1349	2387	-4.86074	-4.95989	0.135909	1.25806	-5.36941	-0.211231	-0.772284	1.46085
326950	1.22157	12	11	18	0.0786795	4.91291	4.15017	3.46	4483	1088	2501	-11.8591	-3.72935	-0.571152	0.756011	-3.66765	-1.14991	-0.35801	1.66878
326978	1.26134	5	18	18	0.0922156	4.76552	4.03342	3.56714	4423	1073	2258	-9.93524	-5.50325	0.427909	0.50965	-3.06341	-1.38333	-0.669312	1.05777
327846	1.12892	7	12	9	0.0847115	4.54537	4.37627	3.57692	3628	1070	2898	-4.72726	-4.45594	-1.27901	0.832724	-2.82331	0.654591	0.755131	1.74009
329568	1.35058	12	20	10	0.0791236	4.46957	4.61438	3.55955	4802	1051	3248	-1.56633	-5.88714	-0.919779	1.23219	-3.19134	-0.0986674	1.21657	1.36713
330535	1.04137	2	4	12	0.0931282	4.6331	4.69935	3.44279	3903	794	2929	-3.95873	-5.88799	-2.30811	-0.491788	-3.14859	0.0699079	-1.03418	1.92181
331271	1.35575	3	12	14	0.0846518	4.82945	4.3631	3.49707	3921	1363	3551	-5.45599	-3.9951	-2.87057	0.307206	-4.69787	-1.2702	-0.0183192	2.83855
331585	1.2436	5	14	16	0.0931022	4.92277	4.57095	3.43361	4546	1169	2655	-11.339	-5.47905	-2.15041	0.905172	-5.11835	-1.41388	-0.630856	1.80536
334022	1.21558	3	16	17	0.0674523	4.63739	4.45662	3.83327	2524	1351	3040	-5.36753	-5.63423	-2.22563	-0.710816	-2.04153	-0.647872	-0.862173	1.53829
341576	1.10563	5	11	18	0.0676727	4.42118	4.36295	3.54851	4078	866	2479	-3.54326	-6.88117	-1.05749	0.248613	-2.86665	-0.242956	-1.43301	1.49632
